timestamp,soil1,soil2,light,vandstand,pumpe
22-05-2026 14:23:01,97.5,99.0,16,Massere af vand,FRA
22-05-2026 14:23:02,97.9,99.1,16,Massere af vand,FRA
22-05-2026 14:23:03,98.1,99.1,18,Massere af vand,FRA
22-05-2026 14:23:04,97.9,98.8,17,Massere af vand,FRA
22-05-2026 14:23:05,98.1,99.0,15,Massere af vand,FRA
22-05-2026 14:23:06,98.1,98.7,16,Massere af vand,FRA
22-05-2026 14:23:07,97.8,98.7,14,Massere af vand,FRA
22-05-2026 14:23:08,98.1,98.9,15,Massere af vand,FRA
22-05-2026 14:23:09,98.1,98.6,17,Massere af vand,FRA
22-05-2026 14:23:10,97.7,99.0,18,Massere af vand,FRA
22-05-2026 14:23:11,97.8,98.9,16,Massere af vand,FRA
22-05-2026 14:23:12,97.9,99.1,17,Massere af vand,FRA
22-05-2026 14:23:13,97.7,99.6,16,Massere af vand,FRA
22-05-2026 14:23:14,97.3,98.8,17,Massere af vand,FRA
22-05-2026 14:23:15,98.1,98.9,18,Massere af vand,FRA
22-05-2026 14:23:16,98.2,99.1,16,Massere af vand,FRA
22-05-2026 14:23:17,97.9,98.9,18,Massere af vand,FRA
22-05-2026 14:23:18,98.3,99.5,18,Massere af vand,FRA
22-05-2026 14:23:19,97.5,99.1,17,Massere af vand,FRA
22-05-2026 14:23:20,97.7,99.2,16,Massere af vand,FRA
22-05-2026 14:23:21,97.5,99.1,18,Massere af vand,FRA
22-05-2026 14:23:22,97.5,98.9,18,Massere af vand,FRA
22-05-2026 14:23:23,97.7,99.1,15,Massere af vand,FRA
22-05-2026 14:23:24,97.9,98.7,17,Massere af vand,FRA
22-05-2026 14:23:25,97.7,99.1,17,Massere af vand,FRA
22-05-2026 14:23:26,97.7,98.7,19,Massere af vand,FRA
22-05-2026 14:23:27,97.5,99.3,15,Massere af vand,FRA
22-05-2026 14:23:28,97.9,98.9,18,Massere af vand,FRA
22-05-2026 14:23:29,97.9,98.7,17,Massere af vand,FRA
22-05-2026 14:23:30,98.1,99.1,16,Massere af vand,FRA
22-05-2026 14:23:32,97.8,99.7,15,Massere af vand,FRA
22-05-2026 14:23:33,97.7,98.7,16,Massere af vand,FRA
22-05-2026 14:23:34,97.7,99.3,17,Massere af vand,FRA
22-05-2026 14:23:35,97.7,98.9,18,Massere af vand,FRA
22-05-2026 14:23:36,98.1,99.4,18,Massere af vand,FRA
22-05-2026 14:23:37,97.8,99.0,19,Massere af vand,FRA
22-05-2026 14:23:38,97.9,99.5,16,Massere af vand,FRA
22-05-2026 14:23:39,97.5,98.7,19,Massere af vand,FRA
22-05-2026 14:23:40,98.7,98.8,18,Massere af vand,FRA
22-05-2026 14:23:41,97.7,98.7,18,Massere af vand,FRA
22-05-2026 14:23:42,98.0,99.4,17,Massere af vand,FRA
22-05-2026 14:23:43,97.6,99.0,17,Massere af vand,FRA
22-05-2026 14:23:44,97.8,98.7,17,Massere af vand,FRA
22-05-2026 14:23:45,98.1,99.1,19,Massere af vand,FRA
22-05-2026 14:23:46,97.3,98.8,18,Massere af vand,FRA
22-05-2026 14:23:47,97.5,99.4,18,Massere af vand,FRA
22-05-2026 14:23:48,97.6,99.3,18,Massere af vand,FRA
22-05-2026 14:23:49,98.1,99.0,17,Massere af vand,FRA
22-05-2026 14:23:50,98.0,98.6,18,Massere af vand,FRA
22-05-2026 14:23:51,97.7,99.7,20,Massere af vand,FRA
22-05-2026 14:23:52,97.9,99.3,17,Massere af vand,FRA
22-05-2026 14:23:53,97.6,99.3,17,Massere af vand,FRA
22-05-2026 14:23:54,98.3,98.9,17,Massere af vand,FRA
22-05-2026 14:23:55,97.6,99.1,15,Massere af vand,FRA
22-05-2026 14:23:56,97.5,99.1,17,Massere af vand,FRA
22-05-2026 14:23:57,98.3,99.0,18,Massere af vand,FRA
22-05-2026 14:23:58,97.4,99.0,15,Massere af vand,FRA
22-05-2026 14:23:59,97.5,99.0,20,Massere af vand,FRA
22-05-2026 14:24:00,98.2,99.3,16,Massere af vand,FRA
22-05-2026 14:24:01,97.8,99.4,16,Massere af vand,FRA
22-05-2026 14:24:02,98.4,99.3,17,Massere af vand,FRA
22-05-2026 14:24:03,97.6,99.1,16,Massere af vand,FRA
22-05-2026 14:24:04,97.8,99.2,17,Massere af vand,FRA
22-05-2026 14:24:05,97.8,99.0,16,Massere af vand,FRA
22-05-2026 14:24:06,97.9,99.2,15,Massere af vand,FRA
22-05-2026 14:24:07,98.1,99.1,18,Massere af vand,FRA
22-05-2026 14:24:08,97.9,98.9,18,Massere af vand,FRA
22-05-2026 14:24:09,97.9,98.8,16,Massere af vand,FRA
22-05-2026 14:24:10,98.5,99.5,18,Massere af vand,FRA
22-05-2026 14:24:11,98.3,98.9,19,Massere af vand,FRA
22-05-2026 14:24:12,97.9,99.0,17,Massere af vand,FRA
22-05-2026 14:24:13,98.0,99.0,17,Massere af vand,FRA
22-05-2026 14:24:14,97.4,98.8,17,Massere af vand,FRA
22-05-2026 14:24:15,97.5,98.9,16,Massere af vand,FRA
22-05-2026 14:24:16,97.9,99.3,18,Massere af vand,FRA
22-05-2026 14:24:17,98.2,99.3,19,Massere af vand,FRA
22-05-2026 14:24:18,97.5,99.1,15,Massere af vand,FRA
22-05-2026 14:24:19,97.7,98.7,17,Massere af vand,FRA
22-05-2026 14:24:20,98.1,99.0,18,Massere af vand,FRA
22-05-2026 14:24:21,97.7,99.1,15,Massere af vand,FRA
22-05-2026 14:24:22,97.9,99.1,18,Massere af vand,FRA
22-05-2026 14:24:23,98.0,98.8,16,Massere af vand,FRA
22-05-2026 14:24:24,97.8,98.9,19,Massere af vand,FRA
